recording_id	release_id	relationship_type	source_id	confidence	review_status
REC005503	REL000001	appears_on_release	SRC0002	high	approved
REC005504	REL000001	appears_on_release	SRC0002	high	approved
REC005505	REL000001	appears_on_release	SRC0002	high	approved
REC005506	REL000001	appears_on_release	SRC0002	high	approved
REC005507	REL000001	appears_on_release	SRC0002	high	approved
REC005508	REL000001	appears_on_release	SRC0002	high	approved
REC005509	REL000001	appears_on_release	SRC0002	high	approved
REC005510	REL000001	appears_on_release	SRC0002	high	approved
REC005511	REL000001	appears_on_release	SRC0002	high	approved
REC005512	REL000001	appears_on_release	SRC0002	high	approved
REC005513	REL000001	appears_on_release	SRC0002	high	approved
REC005514	REL000001	appears_on_release	SRC0002	high	approved
REC005515	REL000001	appears_on_release	SRC0002	high	approved
REC005516	REL000001	appears_on_release	SRC0002	high	approved
REC005517	REL000002	appears_on_release	SRC0002	high	approved
REC005518	REL000002	appears_on_release	SRC0002	high	approved
REC005519	REL000002	appears_on_release	SRC0002	high	approved
REC005520	REL000002	appears_on_release	SRC0002	high	approved
REC005521	REL000002	appears_on_release	SRC0002	high	approved
REC005522	REL000002	appears_on_release	SRC0002	high	approved
REC005523	REL000002	appears_on_release	SRC0002	high	approved
REC005524	REL000002	appears_on_release	SRC0002	high	approved
REC005525	REL000002	appears_on_release	SRC0002	high	approved
REC005526	REL000002	appears_on_release	SRC0002	high	approved
REC005527	REL000003	appears_on_release	SRC0002	high	approved
REC005528	REL000003	appears_on_release	SRC0002	high	approved
REC005529	REL000003	appears_on_release	SRC0002	high	approved
REC005530	REL000003	appears_on_release	SRC0002	high	approved
REC005531	REL000003	appears_on_release	SRC0002	high	approved
REC005532	REL000003	appears_on_release	SRC0002	high	approved
REC005533	REL000003	appears_on_release	SRC0002	high	approved
REC005534	REL000003	appears_on_release	SRC0002	high	approved
REC005514	REL000003	appears_on_release	SRC0002	high	approved
REC005535	REL000003	appears_on_release	SRC0002	high	approved
REC005536	REL000003	appears_on_release	SRC0002	high	approved
REC005537	REL000004	appears_on_release	SRC0002	high	approved
REC005538	REL000004	appears_on_release	SRC0002	high	approved
REC005539	REL000004	appears_on_release	SRC0002	high	approved
REC005540	REL000004	appears_on_release	SRC0002	high	approved
REC005541	REL000004	appears_on_release	SRC0002	high	approved
REC005542	REL000004	appears_on_release	SRC0002	high	approved
REC005543	REL000004	appears_on_release	SRC0002	high	approved
REC005544	REL000004	appears_on_release	SRC0002	high	approved
REC005545	REL000004	appears_on_release	SRC0002	high	approved
REC005546	REL000004	appears_on_release	SRC0002	high	approved
REC005547	REL000004	appears_on_release	SRC0002	high	approved
REC005548	REL000004	appears_on_release	SRC0002	high	approved
REC005549	REL000004	appears_on_release	SRC0002	high	approved
REC005550	REL000005	appears_on_release	SRC0002	high	approved
REC005551	REL000005	appears_on_release	SRC0002	high	approved
REC005552	REL000005	appears_on_release	SRC0002	high	approved
REC005553	REL000005	appears_on_release	SRC0002	high	approved
REC005554	REL000005	appears_on_release	SRC0002	high	approved
REC005555	REL000005	appears_on_release	SRC0002	high	approved
REC005556	REL000005	appears_on_release	SRC0002	high	approved
REC005557	REL000005	appears_on_release	SRC0002	high	approved
REC005558	REL000005	appears_on_release	SRC0002	high	approved
REC005559	REL000005	appears_on_release	SRC0002	high	approved
REC005560	REL000006	appears_on_release	SRC0002	high	approved
REC005561	REL000006	appears_on_release	SRC0002	high	approved
REC005562	REL000006	appears_on_release	SRC0002	high	approved
REC005563	REL000006	appears_on_release	SRC0002	high	approved
REC005564	REL000006	appears_on_release	SRC0002	high	approved
REC005565	REL000006	appears_on_release	SRC0002	high	approved
REC005566	REL000006	appears_on_release	SRC0002	high	approved
REC005567	REL000006	appears_on_release	SRC0002	high	approved
REC005568	REL000006	appears_on_release	SRC0002	high	approved
REC005569	REL000006	appears_on_release	SRC0002	high	approved
REC005570	REL000007	appears_on_release	SRC0002	high	approved
REC005571	REL000007	appears_on_release	SRC0002	high	approved
REC005572	REL000007	appears_on_release	SRC0002	high	approved
REC005573	REL000007	appears_on_release	SRC0002	high	approved
REC005574	REL000007	appears_on_release	SRC0002	high	approved
REC005575	REL000007	appears_on_release	SRC0002	high	approved
REC005576	REL000007	appears_on_release	SRC0002	high	approved
REC005577	REL000007	appears_on_release	SRC0002	high	approved
REC005578	REL000007	appears_on_release	SRC0002	high	approved
REC005579	REL000007	appears_on_release	SRC0002	high	approved
REC005580	REL000008	appears_on_release	SRC0002	high	approved
REC005581	REL000008	appears_on_release	SRC0002	high	approved
REC005582	REL000008	appears_on_release	SRC0002	high	approved
REC005583	REL000008	appears_on_release	SRC0002	high	approved
REC005584	REL000008	appears_on_release	SRC0002	high	approved
REC005585	REL000008	appears_on_release	SRC0002	high	approved
REC005586	REL000008	appears_on_release	SRC0002	high	approved
REC005587	REL000008	appears_on_release	SRC0002	high	approved
REC005588	REL000008	appears_on_release	SRC0002	high	approved
REC005589	REL000008	appears_on_release	SRC0002	high	approved
REC005590	REL000009	appears_on_release	SRC0002	high	approved
REC005591	REL000009	appears_on_release	SRC0002	high	approved
REC005592	REL000009	appears_on_release	SRC0002	high	approved
REC005593	REL000009	appears_on_release	SRC0002	high	approved
REC005594	REL000009	appears_on_release	SRC0002	high	approved
REC005595	REL000009	appears_on_release	SRC0002	high	approved
REC005596	REL000009	appears_on_release	SRC0002	high	approved
REC005597	REL000009	appears_on_release	SRC0002	high	approved
REC005598	REL000009	appears_on_release	SRC0002	high	approved
REC005599	REL000009	appears_on_release	SRC0002	high	approved
